className,R,G,B,Number
C. lanceolata,245,103,123,0
P. elliottii,211,209,235,1
P. massoniana,92,65,227,2
E. urophylla,242,242,18,3
E. grandis,251,193,201,4
C. hystrix,191,13,38,5
A. melanoxylon,255,0,0,6
M. laosensis,0,0,255,7
Soft broadleaved,147,231,23,8
cutting-site,41,47,163,9
Road,30,104,67,10


